STATECODE,Classification,Description,HDv1
CT,COM_ROOFEQUIP,Roof mounted photovoltaic array,235.784232
CT,COM_ROOFEQUIP,Roof mounted impact resistant array,263.787166
CT,COM_ROOFEQUIP,Roof mounted mechanically attached array,218.603463
CT,COM_ROOFGEOM,Complex roof,292.76456
CT,COM_ROOFGEOM,Flat roof no parapets,286.344647
CT,COM_ROOFGEOM,Flat roof parapets,317.469384
CT,COM_ROOFGEOM,Gable roof LE6:12,269.892818
CT,COM_ROOFGEOM,Braced gable LE6:12,317.520591
CT,COM_ROOFGEOM,Gable roof GT6:12,276.523583
CT,COM_ROOFGEOM,Braced gable GT6:12,278.106966
CT,COM_ROOFGEOM,Hip roof LE6:12,316.709055
CT,COM_ROOFGEOM,Hip roof GT6:12,269.010154
CT,COM_ROOFMAINT,Excellent condition,186.969779
CT,COM_ROOFMAINT,No deterioration or defects,176.254097
CT,COM_ROOFMAINT,Visible defects,167.992768
CT,COM_ROOFMAINT,Significant signs of distress,166.012559
CT,COM_ROOFSYS,Built up or single ply,313.081231
CT,COM_ROOFSYS,Built up with gutters,304.879898
CT,COM_ROOFSYS,Built up without gutters,293.248959
CT,COM_ROOFSYS,Built up unknown gutters,268.875877
CT,COM_ROOFSYS,High wind shingle,279.737683
CT,COM_ROOFSYS,High wind shingle plus SWR,279.503947
CT,COM_ROOFSYS,Normal shingle,279.351232
CT,COM_ROOFSYS,Normal shingle plus SWR,269.375854
CT,COM_ROOFSYS,Metal concealed fasteners,295.086337
CT,COM_ROOFSYS,Metal exposed fasteners,280.146741
CT,COM_ROOFSYS,Metal unknown fasteners,310.502677
CT,COM_ROOFSYS,Wood shakes,298.049771
CT,COM_ROOFSYS,Concrete roof,321.715418
CT,COM_ROOFSYS,Hail class 1,270.819418
CT,COM_ROOFSYS,Hail class 2,321.704534
CT,COM_ROOFSYS,Hail class 3,308.389428
CT,COM_ROOFSYS,Hail class 4,320.176406
CT,COM_ROOFSYS,Rubber roof,301.978942
CT,COM_ROOFSYS,Green roof,275.236118
CT,COM_ROOFSYS,Bermuda style roof,276.533723
CT,COM_ROOFSYS,Concrete tiles,308.849124
CT,COM_ROOFSYS,Slate tile,300.543092
CT,COM_ROOFSYS,Fabric membrane,284.183327
CT,COM_ROOFSYS,Solar tile,311.36535
CT,COM_TODMGPROVISION,Cosmetic damage Fully covered,384.028511
CT,COM_TODMGPROVISION,Cosmetic damage Mostly covered,364.299024
CT,COM_TODMGPROVISION,Cosmetic damage Default,352.48163
CT,COM_TODMGPROVISION,Cosmetic damage Rarely covered,389.542341
CT,COM_TODMGPROVISION,Cosmetic damage Excluded,355.850055
CT,COM_TOFLASHING,Compliant with ES1,380.781744
CT,COM_TOFLASHING,Not compliant with ES1,420.553884
CT,COM_TREEDENSITY,High tree risk high shielding,208.403426
CT,COM_TREEDENSITY,Some trees some shielding,226.743217
CT,COM_TREEDENSITY,No trees no shielding,202.700998
CT,SFD_Unknown,Unknown,610.22982
CT,SFD_ARCHITECT,Attached screen,651.526132
CT,SFD_ARCHITECT,Detached screen,650.814735
CT,SFD_ARCHITECT,Fences,686.001403
CT,SFD_ARCHITECT,None,714.818819
CT,SFD_ARCHITECT,Skylights,687.483532
CT,SFD_ARCHITECT,Skylights protection,668.777822
CT,SFD_CLADRATE,10d high wind nail,629.976496
CT,SFD_CLADRATE,6d any nail,559.6447
CT,SFD_CLADRATE,8d high wind nail,615.879691
CT,SFD_CLADRATE,8d minimum nail,645.593226
CT,SFD_CLADRATE,Batten decking,647.366501
CT,SFD_CLADRATE,Lumber and groove,562.247883
CT,SFD_CLADSYS,Vinyl siding,625.584829
CT,SFD_CLADSYS,EIFS,596.758174
CT,SFD_CLADSYS,Wood,637.860964
CT,SFD_CLADSYS,Metal sheathing,655.004124
CT,SFD_CLADSYS,Impact rated glazing,652.219418
CT,SFD_CLADSYS,Stucco,577.524004
CT,SFD_CLADSYS,Brick veneer,634.8984
CT,SFD_CLADSYS,Concrete block,662.797158
CT,SFD_CONSTQUALI,Signs of distress,561.173582
CT,SFD_CONSTQUALI,WH Roof existing,573.32828
CT,SFD_CONSTQUALI,Wind Roof existing,496.084538
CT,SFD_CONSTQUALI,Wind Gold existing,586.316418
CT,SFD_CONSTQUALI,Wind Silver existing,563.634089
CT,SFD_CONSTQUALI,WH Gold existing,570.413993
CT,SFD_CONSTQUALI,WH Silver existing,503.718766
CT,SFD_EXTORN,Extensive ornamentation,745.76462
CT,SFD_EXTORN,Extensive ornamentation and LPS,753.466936
CT,SFD_EXTORN,Large signs,644.802247
CT,SFD_EXTORN,Large signs and LPS,692.077722
CT,SFD_EXTORN,Lightning protection,690.035668
CT,SFD_FOUNDSYS,Bolted,580.992062
CT,SFD_FOUNDSYS,Engineered,665.930307
CT,SFD_FOUNDSYS,Unbolted,623.03159
CT,SFD_GARAGING,Attached garage,618.054988
CT,SFD_GARAGING,Detached garage,587.858171
CT,SFD_GARAGING,No garage,650.49062
CT,SFD_MECHGROUND,Generally unprotected,660.822805
CT,SFD_MECHGROUND,Generally protected,652.567435
CT,SFD_RESISTOPEN,Pressure small missile rated,696.45912
CT,SFD_RESISTOPEN,Pressure medium missile rated,693.181418
CT,SFD_RESISTOPEN,All openings pressure small missile rated,716.343991
CT,SFD_RESISTOPEN,All openings pressure medium missile rated,593.318742
CT,SFD_RESISTOPEN,All openings pressure large missile rated,684.433231
CT,SFD_ROOFAGE,0 to 5 years,353.974222
CT,SFD_ROOFAGE,6 to 10 years,371.288669
CT,SFD_ROOFAGE,11 years or more,314.369983
CT,SFD_ROOFANCH,Clips,390.44724
CT,SFD_ROOFANCH,Double wraps,374.055181
CT,SFD_ROOFANCH,Single wraps,342.015882
CT,SFD_ROOFANCH,Structural,377.345731
CT,SFD_ROOFANCH,Toenailing no anchorage,390.075969
CT,SFD_ROOFEQUIP,No equipment present,875.433594
CT,SFD_ROOFEQUIP,Roof mounted photovoltaic array,839.966288
CT,SFD_ROOFEQUIP,Roof mounted impact resistant array,925.106528
CT,SFD_ROOFEQUIP,Roof mounted mechanically attached array,933.608183
CT,SFD_ROOFGEOM,Complex roof,544.65703
CT,SFD_ROOFGEOM,Flat roof no parapets,598.180107
CT,SFD_ROOFGEOM,Flat roof parapets,582.192883
CT,SFD_ROOFGEOM,Gable roof LE6:12,585.425601
CT,SFD_ROOFGEOM,Braced gable LE6:12,568.031212
CT,SFD_ROOFGEOM,Gable roof GT6:12,567.172747
CT,SFD_ROOFGEOM,Braced gable GT6:12,586.823829
CT,SFD_ROOFGEOM,Hip roof LE6:12,570.155944
CT,SFD_ROOFGEOM,Hip roof GT6:12,628.24396
CT,SFD_ROOFMAINT,Excellent condition,548.055747
CT,SFD_ROOFMAINT,No deterioration or defects,570.963299
CT,SFD_ROOFMAINT,Visible defects,570.94157
CT,SFD_ROOFMAINT,Significant signs of distress,524.61715
CT,SFD_ROOFSYS,Built up or single ply,826.84992
CT,SFD_ROOFSYS,Built up with gutters,788.059871
CT,SFD_ROOFSYS,Built up without gutters,874.38469
CT,SFD_ROOFSYS,Built up unknown gutters,758.175513
CT,SFD_ROOFSYS,High wind shingle,878.730942
CT,SFD_ROOFSYS,High wind shingle plus SWR,828.592812
CT,SFD_ROOFSYS,Normal shingle,878.737155
CT,SFD_ROOFSYS,Normal shingle plus SWR,758.246245
CT,SFD_ROOFSYS,Metal concealed fasteners,763.516034
CT,SFD_ROOFSYS,Metal exposed fasteners,826.189083
CT,SFD_ROOFSYS,Metal unknown fasteners,864.055797
CT,SFD_ROOFSYS,Wood shakes,792.825045
CT,SFD_ROOFSYS,Concrete roof,895.905013
CT,SFD_ROOFSYS,Hail class 1,872.610503
CT,SFD_ROOFSYS,Hail class 2,906.938165
CT,SFD_ROOFSYS,Hail class 3,825.487925
CT,SFD_ROOFSYS,Hail class 4,824.944416
CT,SFD_ROOFSYS,Rubber roof,797.901565
CT,SFD_ROOFSYS,Green roof,818.68928
CT,SFD_ROOFSYS,Bermuda style roof,794.857411
CT,SFD_ROOFSYS,Concrete tiles,912.393893
CT,SFD_ROOFSYS,Slate tile,835.920156
CT,SFD_ROOFSYS,Fabric membrane,763.911068
CT,SFD_ROOFSYS,Solar tile,885.841138
CT,SFD_TODMGPROVISION,Cosmetic damage Fully covered,678.528437
CT,SFD_TODMGPROVISION,Cosmetic damage Mostly covered,695.106536
CT,SFD_TODMGPROVISION,Cosmetic damage Default,641.527107
CT,SFD_TODMGPROVISION,Cosmetic damage Rarely covered,611.382856
CT,SFD_TODMGPROVISION,Cosmetic damage Excluded,661.458338
CT,SFD_TOFLASHING,Compliant with ES1,681.233672
CT,SFD_TOFLASHING,Not compliant with ES1,680.456664
CT,SFD_TREEDENSITY,High tree risk high shielding,778.647995
CT,SFD_TREEDENSITY,Some trees some shielding,762.650835
CT,SFD_TREEDENSITY,No trees no shielding,761.816253
DC,COM_Unknown,Unknown,557.158774
DC,COM_ARCHITECT,Attached screen,362.794681
DC,COM_ARCHITECT,Detached screen,370.792715
DC,COM_ARCHITECT,Fences,416.293472
DC,COM_ARCHITECT,None,401.267723
DC,COM_ARCHITECT,Skylights,364.901883
DC,COM_ARCHITECT,Skylights protection,403.171847
DC,COM_CLADRATE,10d high wind nail,326.897013
DC,COM_CLADRATE,6d any nail,305.058346
DC,COM_CLADRATE,8d high wind nail,301.965707
DC,COM_CLADRATE,8d minimum nail,352.816743
DC,COM_CLADRATE,Batten decking,300.269848
DC,COM_CLADRATE,Lumber and groove,350.689008
DC,COM_CLADSYS,Vinyl siding,573.508735
DC,COM_CLADSYS,EIFS,669.797094
DC,COM_CLADSYS,Wood,615.48697
DC,COM_CLADSYS,Metal sheathing,573.232484
DC,COM_CLADSYS,Impact rated glazing,664.566373
DC,COM_CLADSYS,Stucco,573.805401
DC,COM_CLADSYS,Brick veneer,625.013754
DC,COM_CLADSYS,Concrete block,602.561541
DC,COM_CONSTQUALI,Signs of distress,500.322329
DC,COM_CONSTQUALI,WH Roof existing,445.012188
DC,COM_CONSTQUALI,Wind Roof existing,454.411694
DC,COM_CONSTQUALI,Wind Gold existing,447.032137
DC,COM_CONSTQUALI,Wind Silver existing,515.762782
DC,COM_CONSTQUALI,WH Gold existing,497.812367
DC,COM_CONSTQUALI,WH Silver existing,498.110427
DC,COM_EXTORN,Extensive ornamentation,388.299468
DC,COM_EXTORN,Extensive ornamentation and LPS,381.716385
DC,COM_EXTORN,Large signs,416.743712
DC,COM_EXTORN,Large signs and LPS,424.09507
DC,COM_EXTORN,Lightning protection,405.530632
DC,COM_FOUNDSYS,Bolted,542.615308
DC,COM_FOUNDSYS,Engineered,514.277256
DC,COM_FOUNDSYS,Unbolted,572.23829
DC,COM_GARAGING,Attached garage,569.571876
DC,COM_GARAGING,Detached garage,520.945368
DC,COM_GARAGING,No garage,558.46979
DC,COM_MECHGROUND,Generally unprotected,272.992279
DC,COM_MECHGROUND,Generally protected,305.445768
DC,COM_RESISTOPEN,Pressure small missile rated,436.7964
DC,COM_RESISTOPEN,Pressure medium missile rated,516.519649
DC,COM_RESISTOPEN,All openings pressure small missile rated,444.692312
DC,COM_RESISTOPEN,All openings pressure medium missile rated,490.893169
DC,COM_RESISTOPEN,All openings pressure large missile rated,477.511634
DC,COM_ROOFAGE,0 to 5 years,855.511809
DC,COM_ROOFAGE,6 to 10 years,812.897419
DC,COM_ROOFAGE,11 years or more,897.747246
DC,COM_ROOFANCH,Clips,259.167517
DC,COM_ROOFANCH,Double wraps,270.584549
DC,COM_ROOFANCH,Single wraps,256.635791
DC,COM_ROOFANCH,Structural,261.488813
DC,COM_ROOFANCH,Toenailing no anchorage,250.473346
DC,COM_ROOFEQUIP,No equipment present,365.25237
DC,COM_ROOFEQUIP,Roof mounted photovoltaic array,368.068663
DC,COM_ROOFEQUIP,Roof mounted impact resistant array,425.055495
DC,COM_ROOFEQUIP,Roof mounted mechanically attached array,401.194626
DC,COM_ROOFGEOM,Complex roof,521.713889
DC,COM_ROOFGEOM,Flat roof no parapets,481.178616
DC,COM_ROOFGEOM,Flat roof parapets,524.520909
DC,COM_ROOFGEOM,Gable roof LE6:12,553.706546
DC,COM_ROOFGEOM,Braced gable LE6:12,543.540616
DC,COM_ROOFGEOM,Gable roof GT6:12,513.744371
DC,COM_ROOFGEOM,Braced gable GT6:12,505.421892
DC,COM_ROOFGEOM,Hip roof LE6:12,529.173711
DC,COM_ROOFGEOM,Hip roof GT6:12,553.131292
DC,COM_ROOFMAINT,Excellent condition,250.482839
DC,COM_ROOFMAINT,No deterioration or defects,254.71852
DC,COM_ROOFMAINT,Visible defects,247.005282
DC,COM_ROOFMAINT,Significant signs of distress,283.61194
DC,COM_ROOFSYS,Built up or single ply,516.436123
DC,COM_ROOFSYS,Built up with gutters,510.812928
DC,COM_ROOFSYS,Built up without gutters,527.543635
DC,COM_ROOFSYS,Built up unknown gutters,481.343932
DC,COM_ROOFSYS,High wind shingle,527.172109
DC,COM_ROOFSYS,High wind shingle plus SWR,512.182899
DC,COM_ROOFSYS,Normal shingle,520.848999
DC,COM_ROOFSYS,Normal shingle plus SWR,474.318505
DC,COM_ROOFSYS,Metal concealed fasteners,445.753208
DC,COM_ROOFSYS,Metal exposed fasteners,462.931553
DC,COM_ROOFSYS,Metal unknown fasteners,506.081409
DC,COM_ROOFSYS,Wood shakes,470.620694
DC,COM_ROOFSYS,Concrete roof,473.179747
DC,COM_ROOFSYS,Hail class 1,439.189498
DC,COM_ROOFSYS,Hail class 2,486.624291
DC,COM_ROOFSYS,Hail class 3,447.825006
DC,COM_ROOFSYS,Hail class 4,521.87394
DC,COM_ROOFSYS,Rubber roof,443.325355
DC,COM_ROOFSYS,Green roof,512.090351
DC,COM_ROOFSYS,Bermuda style roof,518.864727
DC,COM_ROOFSYS,Concrete tiles,439.694348
DC,COM_ROOFSYS,Slate tile,462.755381
DC,COM_ROOFSYS,Fabric membrane,498.313932
DC,COM_ROOFSYS,Solar tile,512.172764
DC,COM_TODMGPROVISION,Cosmetic damage Fully covered,665.897266
DC,COM_TODMGPROVISION,Cosmetic damage Mostly covered,599.15377
DC,COM_TODMGPROVISION,Cosmetic damage Default,603.250903
DC,COM_TODMGPROVISION,Cosmetic damage Rarely covered,586.400706
DC,COM_TODMGPROVISION,Cosmetic damage Excluded,626.257581
DC,COM_TOFLASHING,Compliant with ES1,528.535646
DC,COM_TOFLASHING,Not compliant with ES1,610.647258
DC,COM_TREEDENSITY,High tree risk high shielding,348.811525
DC,COM_TREEDENSITY,Some trees some shielding,339.741586
DC,COM_TREEDENSITY,No trees no shielding,347.251671
DC,SFD_Unknown,Unknown,378.202996
DC,SFD_ARCHITECT,Attached screen,405.562899
DC,SFD_ARCHITECT,Detached screen,432.625466
DC,SFD_ARCHITECT,Fences,471.891517
DC,SFD_ARCHITECT,None,414.587069
DC,SFD_ARCHITECT,Skylights,414.107959
DC,SFD_ARCHITECT,Skylights protection,389.380614
DC,SFD_CLADRATE,10d high wind nail,406.148668
DC,SFD_CLADRATE,6d any nail,417.725558
DC,SFD_CLADRATE,8d high wind nail,434.519606
DC,SFD_CLADRATE,8d minimum nail,397.607375
DC,SFD_CLADRATE,Batten decking,365.227893
DC,SFD_CLADRATE,Lumber and groove,379.303836
DC,SFD_CLADSYS,Vinyl siding,424.744441
DC,SFD_CLADSYS,EIFS,424.017933
DC,SFD_CLADSYS,Wood,432.271392
DC,SFD_CLADSYS,Metal sheathing,408.921655
DC,SFD_CLADSYS,Impact rated glazing,395.864712
DC,SFD_CLADSYS,Stucco,372.024775
DC,SFD_CLADSYS,Brick veneer,413.711201
DC,SFD_CLADSYS,Concrete block,363.87546
DC,SFD_CONSTQUALI,Signs of distress,371.234803
DC,SFD_CONSTQUALI,WH Roof existing,365.04652
DC,SFD_CONSTQUALI,Wind Roof existing,356.229409
DC,SFD_CONSTQUALI,Wind Gold existing,315.773935
DC,SFD_CONSTQUALI,Wind Silver existing,347.941413
DC,SFD_CONSTQUALI,WH Gold existing,374.918907
DC,SFD_CONSTQUALI,WH Silver existing,349.346955
DC,SFD_EXTORN,Extensive ornamentation,387.790832
DC,SFD_EXTORN,Extensive ornamentation and LPS,388.521294
DC,SFD_EXTORN,Large signs,456.602156
DC,SFD_EXTORN,Large signs and LPS,413.207731
DC,SFD_EXTORN,Lightning protection,462.729622
DC,SFD_FOUNDSYS,Bolted,409.528495
DC,SFD_FOUNDSYS,Engineered,445.07651
DC,SFD_FOUNDSYS,Unbolted,376.615345
DC,SFD_GARAGING,Attached garage,331.155997
DC,SFD_GARAGING,Detached garage,343.329824
DC,SFD_GARAGING,No garage,326.846524
DC,SFD_MECHGROUND,Generally unprotected,428.7959
DC,SFD_MECHGROUND,Generally protected,381.148412
DC,SFD_RESISTOPEN,Pressure small missile rated,419.820817
DC,SFD_RESISTOPEN,Pressure medium missile rated,399.574851
DC,SFD_RESISTOPEN,All openings pressure small missile rated,467.417243
DC,SFD_RESISTOPEN,All openings pressure medium missile rated,420.807245
DC,SFD_RESISTOPEN,All openings pressure large missile rated,385.477317
DC,SFD_ROOFAGE,0 to 5 years,251.29925
DC,SFD_ROOFAGE,6 to 10 years,238.678681
DC,SFD_ROOFAGE,11 years or more,224.537812
DC,SFD_ROOFANCH,Clips,235.20263
DC,SFD_ROOFANCH,Double wraps,230.884867
DC,SFD_ROOFANCH,Single wraps,199.619772
DC,SFD_ROOFANCH,Structural,235.924783
DC,SFD_ROOFANCH,Toenailing no anchorage,218.160747
DC,SFD_ROOFEQUIP,No equipment present,512.074338
DC,SFD_ROOFEQUIP,Roof mounted photovoltaic array,497.723506
DC,SFD_ROOFEQUIP,Roof mounted impact resistant array,587.310919
DC,SFD_ROOFEQUIP,Roof mounted mechanically attached array,583.476741
DC,SFD_ROOFGEOM,Complex roof,334.086056
DC,SFD_ROOFGEOM,Flat roof no parapets,375.653221
DC,SFD_ROOFGEOM,Flat roof parapets,365.311526
DC,SFD_ROOFGEOM,Gable roof LE6:12,362.821001
DC,SFD_ROOFGEOM,Braced gable LE6:12,351.524685
DC,SFD_ROOFGEOM,Gable roof GT6:12,375.166028
DC,SFD_ROOFGEOM,Braced gable GT6:12,343.09087
DC,SFD_ROOFGEOM,Hip roof LE6:12,370.111577
DC,SFD_ROOFGEOM,Hip roof GT6:12,336.306121
DC,SFD_ROOFMAINT,Excellent condition,395.51579
DC,SFD_ROOFMAINT,No deterioration or defects,377.14736
DC,SFD_ROOFMAINT,Visible defects,328.748618
DC,SFD_ROOFMAINT,Significant signs of distress,339.471023
DC,SFD_ROOFSYS,Built up or single ply,530.962367
DC,SFD_ROOFSYS,Built up with gutters,591.911635
DC,SFD_ROOFSYS,Built up without gutters,580.799605
DC,SFD_ROOFSYS,Built up unknown gutters,522.256235
DC,SFD_ROOFSYS,High wind shingle,561.065169
DC,SFD_ROOFSYS,High wind shingle plus SWR,582.930828
DC,SFD_ROOFSYS,Normal shingle,557.880254
DC,SFD_ROOFSYS,Normal shingle plus SWR,553.871782
DC,SFD_ROOFSYS,Metal concealed fasteners,501.115878
DC,SFD_ROOFSYS,Metal exposed fasteners,549.779
DC,SFD_ROOFSYS,Metal unknown fasteners,514.38814
DC,SFD_ROOFSYS,Wood shakes,534.337712
DC,SFD_ROOFSYS,Concrete roof,508.945651
DC,SFD_ROOFSYS,Hail class 1,512.466524
DC,SFD_ROOFSYS,Hail class 2,555.443959
DC,SFD_ROOFSYS,Hail class 3,535.861642
DC,SFD_ROOFSYS,Hail class 4,502.340053
DC,SFD_ROOFSYS,Rubber roof,514.315833
DC,SFD_ROOFSYS,Green roof,561.831668
DC,SFD_ROOFSYS,Bermuda style roof,551.096913
DC,SFD_ROOFSYS,Concrete tiles,499.231677
DC,SFD_ROOFSYS,Slate tile,492.5372
DC,SFD_ROOFSYS,Fabric membrane,589.132296
DC,SFD_ROOFSYS,Solar tile,524.682802
DC,SFD_TODMGPROVISION,Cosmetic damage Fully covered,434.015931
DC,SFD_TODMGPROVISION,Cosmetic damage Mostly covered,384.95518
DC,SFD_TODMGPROVISION,Cosmetic damage Default,368.190339
DC,SFD_TODMGPROVISION,Cosmetic damage Rarely covered,413.661692
DC,SFD_TODMGPROVISION,Cosmetic damage Excluded,433.223508
DC,SFD_TOFLASHING,Compliant with ES1,406.376544
DC,SFD_TOFLASHING,Not compliant with ES1,432.661134
DC,SFD_TREEDENSITY,High tree risk high shielding,518.455284
DC,SFD_TREEDENSITY,Some trees some shielding,509.713964
DC,SFD_TREEDENSITY,No trees no shielding,473.59691
DE,COM_Unknown,Unknown,346.471192
DE,COM_ARCHITECT,Attached screen,251.232803
DE,COM_ARCHITECT,Detached screen,248.700159
DE,COM_ARCHITECT,Fences,221.109715
DE,COM_ARCHITECT,None,264.816498
DE,COM_ARCHITECT,Skylights,246.989381
DE,COM_ARCHITECT,Skylights protection,260.518493
DE,COM_CLADRATE,10d high wind nail,200.505553
DE,COM_CLADRATE,6d any nail,214.44087
DE,COM_CLADRATE,8d high wind nail,222.778852
DE,COM_CLADRATE,8d minimum nail,218.307351
DE,COM_CLADRATE,Batten decking,209.529498
DE,COM_CLADRATE,Lumber and groove,208.910991
DE,COM_CLADSYS,Vinyl siding,404.83875
DE,COM_CLADSYS,EIFS,417.38954
DE,COM_CLADSYS,Wood,368.466477
DE,COM_CLADSYS,Metal sheathing,449.477697
DE,COM_CLADSYS,Impact rated glazing,401.337151
DE,COM_CLADSYS,Stucco,377.737641
DE,COM_CLADSYS,Brick veneer,439.215737
DE,COM_CLADSYS,Concrete block,412.275994
DE,COM_CONSTQUALI,Signs of distress,268.88474
DE,COM_CONSTQUALI,WH Roof existing,318.89207
DE,COM_CONSTQUALI,Wind Roof existing,309.465081
DE,COM_CONSTQUALI,Wind Gold existing,312.277494
DE,COM_CONSTQUALI,Wind Silver existing,317.834895
DE,COM_CONSTQUALI,WH Gold existing,296.333098
DE,COM_CONSTQUALI,WH Silver existing,321.524899
DE,COM_EXTORN,Extensive ornamentation,225.717595
DE,COM_EXTORN,Extensive ornamentation and LPS,240.111304
DE,COM_EXTORN,Large signs,257.278762
DE,COM_EXTORN,Large signs and LPS,240.056371
DE,COM_EXTORN,Lightning protection,271.456166
DE,COM_FOUNDSYS,Bolted,359.137489
DE,COM_FOUNDSYS,Engineered,369.691362
DE,COM_FOUNDSYS,Unbolted,364.819322
DE,COM_GARAGING,Attached garage,340.746599
DE,COM_GARAGING,Detached garage,308.614049
DE,COM_GARAGING,No garage,351.478978
DE,COM_MECHGROUND,Generally unprotected,189.179148
DE,COM_MECHGROUND,Generally protected,172.903457
DE,COM_RESISTOPEN,Pressure small missile rated,333.748735
DE,COM_RESISTOPEN,Pressure medium missile rated,309.349692
DE,COM_RESISTOPEN,All openings pressure small missile rated,284.997077
DE,COM_RESISTOPEN,All openings pressure medium missile rated,316.571642
DE,COM_RESISTOPEN,All openings pressure large missile rated,316.68234
DE,COM_ROOFAGE,0 to 5 years,472.590701
DE,COM_ROOFAGE,6 to 10 years,504.993566
DE,COM_ROOFAGE,11 years or more,531.554317
DE,COM_ROOFANCH,Clips,178.30246
DE,COM_ROOFANCH,Double wraps,157.629187
DE,COM_ROOFANCH,Single wraps,184.303943
DE,COM_ROOFANCH,Structural,171.757517
DE,COM_ROOFANCH,Toenailing no anchorage,162.213989
DE,COM_ROOFEQUIP,No equipment present,269.551713
DE,COM_ROOFEQUIP,Roof mounted photovoltaic array,249.998923
DE,COM_ROOFEQUIP,Roof mounted impact resistant array,258.864713
DE,COM_ROOFEQUIP,Roof mounted mechanically attached array,239.33512
DE,COM_ROOFGEOM,Complex roof,281.152933
DE,COM_ROOFGEOM,Flat roof no parapets,288.471686
DE,COM_ROOFGEOM,Flat roof parapets,280.52648
DE,COM_ROOFGEOM,Gable roof LE6:12,322.00737
DE,COM_ROOFGEOM,Braced gable LE6:12,291.162939
DE,COM_ROOFGEOM,Gable roof GT6:12,274.716642
DE,COM_ROOFGEOM,Braced gable GT6:12,320.740123
DE,COM_ROOFGEOM,Hip roof LE6:12,287.168149
DE,COM_ROOFGEOM,Hip roof GT6:12,317.10086
DE,COM_ROOFMAINT,Excellent condition,163.300444
DE,COM_ROOFMAINT,No deterioration or defects,159.471919
DE,COM_ROOFMAINT,Visible defects,152.764423
DE,COM_ROOFMAINT,Significant signs of distress,177.586365
DE,COM_ROOFSYS,Built up or single ply,299.715359
DE,COM_ROOFSYS,Built up with gutters,295.531469
DE,COM_ROOFSYS,Built up without gutters,312.597367
DE,COM_ROOFSYS,Built up unknown gutters,308.870157
DE,COM_ROOFSYS,High wind shingle,336.413448
DE,COM_ROOFSYS,High wind shingle plus SWR,291.256707
DE,COM_ROOFSYS,Normal shingle,320.756098
DE,COM_ROOFSYS,Normal shingle plus SWR,335.603752
DE,COM_ROOFSYS,Metal concealed fasteners,309.897906
DE,COM_ROOFSYS,Metal exposed fasteners,299.767922
DE,COM_ROOFSYS,Metal unknown fasteners,326.234671
DE,COM_ROOFSYS,Wood shakes,282.592965
DE,COM_ROOFSYS,Concrete roof,308.533563
DE,COM_ROOFSYS,Hail class 1,302.900168
DE,COM_ROOFSYS,Hail class 2,292.492253
DE,COM_ROOFSYS,Hail class 3,285.348389
DE,COM_ROOFSYS,Hail class 4,329.123399
DE,COM_ROOFSYS,Rubber roof,310.142894
DE,COM_ROOFSYS,Green roof,309.447186
DE,COM_ROOFSYS,Bermuda style roof,312.000575
DE,COM_ROOFSYS,Concrete tiles,320.299218
DE,COM_ROOFSYS,Slate tile,314.853227
DE,COM_ROOFSYS,Fabric membrane,313.353678
DE,COM_ROOFSYS,Solar tile,278.918851
DE,COM_TODMGPROVISION,Cosmetic damage Fully covered,392.523971
DE,COM_TODMGPROVISION,Cosmetic damage Mostly covered,395.704821
DE,COM_TODMGPROVISION,Cosmetic damage Default,395.189688
DE,COM_TODMGPROVISION,Cosmetic damage Rarely covered,353.554184
DE,COM_TODMGPROVISION,Cosmetic damage Excluded,353.197146
DE,COM_TOFLASHING,Compliant with ES1,408.829101
DE,COM_TOFLASHING,Not compliant with ES1,356.336769
DE,COM_TREEDENSITY,High tree risk high shielding,208.610138
DE,COM_TREEDENSITY,Some trees some shielding,229.645606
DE,COM_TREEDENSITY,No trees no shielding,209.13956
DE,SFD_Unknown,Unknown,420.215659
DE,SFD_ARCHITECT,Attached screen,455.181322
DE,SFD_ARCHITECT,Detached screen,414.879272
DE,SFD_ARCHITECT,Fences,456.980334
DE,SFD_ARCHITECT,None,495.308362
DE,SFD_ARCHITECT,Skylights,456.013292
DE,SFD_ARCHITECT,Skylights protection,447.791438
DE,SFD_CLADRATE,10d high wind nail,397.116563
DE,SFD_CLADRATE,6d any nail,397.957936
DE,SFD_CLADRATE,8d high wind nail,407.900498
DE,SFD_CLADRATE,8d minimum nail,434.867007
DE,SFD_CLADRATE,Batten decking,464.344144
DE,SFD_CLADRATE,Lumber and groove,418.370575
DE,SFD_CLADSYS,Vinyl siding,459.555967
DE,SFD_CLADSYS,EIFS,438.244842
DE,SFD_CLADSYS,Wood,413.393002
DE,SFD_CLADSYS,Metal sheathing,472.964606
DE,SFD_CLADSYS,Impact rated glazing,417.931871
DE,SFD_CLADSYS,Stucco,488.341953
DE,SFD_CLADSYS,Brick veneer,424.188271
DE,SFD_CLADSYS,Concrete block,471.823325
DE,SFD_CONSTQUALI,Signs of distress,364.71491
DE,SFD_CONSTQUALI,WH Roof existing,355.389177
DE,SFD_CONSTQUALI,Wind Roof existing,403.491958
DE,SFD_CONSTQUALI,Wind Gold existing,361.215307
DE,SFD_CONSTQUALI,Wind Silver existing,365.50615
DE,SFD_CONSTQUALI,WH Gold existing,385.733426
DE,SFD_CONSTQUALI,WH Silver existing,381.309123
DE,SFD_EXTORN,Extensive ornamentation,476.865927
